Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,12/21/1974,2:19:00,Molniya-M /Block L,Molniya-2 n­46,0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,12/24/1974,11:00:00,Tsyklon-2,Cosmos 699,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,12/26/1974,11:59:00,Cosmos-3M (11K65M),Cosmos 700,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,12/27/1974,9:10:00,Voskhod,Cosmos 701,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,1/10/1975,21:43:00,Soyuz,Soyuz 17,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,1/17/1975,9:00:00,Voskhod,Cosmos 702,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,1/21/1975,11:04:00,Cosmos-2I (63SM),Cosmos 703,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,1/23/1975,11:00:00,Voskhod,Cosmos 704,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,1/28/1975,12:05:00,Cosmos-2I (63SM),Cosmos 705,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,1/30/1975,15:02:00,Molniya-M /Block 2BL,Cosmos 706,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,2/5/1975,13:15:00,Cosmos-3M (11K65M),Cosmos 707,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,2/6/1975,4:49:00,Molniya-M /Block L,Molniya-2 n­47,0,,1
CNES,ELD,Guiana Space Centre,French Guiana,France,2/6/1975,16:35:00,Diamant BP4,Starlette,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,2/12/1975,3:30:00,Cosmos-3M (11K65M),Cosmos 708,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,2/12/1975,14:30:00,Voskhod,Cosmos 709,0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,2/20/1975,23:35:00,Atlas-SLV3D Centaur-D1A,Intelsat 4 F6,0,,2
ISAS,Mu Pad,Uchinoura Space Center,,Japan,2/24/1975,5:25:00,Mu-III C,Taiyo,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,2/26/1975,9:00:00,Voskhod,Cosmos 710,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,2/28/1975,14:01:00,Cosmos-3M (11K65M),Cosmos 711 to 718,0,,1
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,3/10/1975,4:41:00,Titan III(34)B Agena-D,Jumpseat 4,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,3/12/1975,8:55:00,Voskhod,Cosmos 719,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,3/21/1975,6:50:00,Soyuz U,Cosmos 720,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,3/26/1975,8:50:00,Voskhod,Cosmos 721,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,3/27/1975,8:00:00,Voskhod,Cosmos 722,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,3/27/1975,14:30:00,Cosmos-3M (11K65M),Intercosmos-13,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,4/1/1975,12:30:00,Vostok-2M,Meteor n­31,0,,1
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,4/2/1975,11:00:00,Tsyklon-2,Cosmos 723,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/5/1975,11:04:00,Soyuz,Soyuz 18a (7K-T n­39),0,,2
RVSN USSR,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,4/7/1975,11:00:00,Tsyklon-2,Cosmos 724,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,4/8/1975,18:30:00,Cosmos-2I (63SM),Cosmos 725,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,4/11/1975,7:57:00,Cosmos-3M (11K65M),Cosmos 726,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,4/13/1975,0:51:00,Atlas-E/F Star-17A,P72-2,0,,2
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,4/14/1975,17:52:00,Molniya-M /Block ML,Molniya-3 n­48,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,4/16/1975,8:00:00,Soyuz U,Cosmos 727,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,4/18/1975,10:00:00,Voskhod,Cosmos 728,0,,1
US Air Force,SLC-4W,Vandenberg AFB,California,USA,4/18/1975,16:48:00,Titan III(24)B,OPS 4883,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,4/19/1975,7:58:00,Cosmos-3M (11K65M),Aryabhata,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,4/22/1975,21:10:00,Cosmos-3M (11K65M),Cosmos 729,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,4/24/1975,8:04:00,Voskhod,Cosmos 730,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,4/29/1975,10:23:00,Molniya-M /Block ML,Molniya-1 n­49,0,,1
ASI,SM Launch Tab,San Marco Launch Platform,,Kenya,5/7/1975,22:45:00,Scout F1,Explorer 53,0,,1
