Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,10/4/1957,19:28:00,Sputnik 8K71PS,Sputnik-1,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,11/3/1957,2:30:00,Sputnik 8K71PS,Sputnik-2,0,,1
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,12/6/1957,16:44:00,Vanguard,Vanguard TV3,0,,2
AMBA,LC-26A,Cape Canaveral AFS,Florida,USA,2/1/1958,3:48:00,Juno I,Explorer 1,0,,1
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,2/5/1958,7:33:00,Vanguard,Vanguard TV3BU,0,,2
AMBA,LC-26A,Cape Canaveral AFS,Florida,USA,3/5/1958,18:27:00,Juno I,Explorer 2,0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,3/17/1958,12:15:00,Vanguard,Vanguard 1,0,,1
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,3/26/1958,17:38:00,Juno I,Explorer 3,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/27/1958,9:01:00,Sputnik 8A91,Sputnik-3 #1,0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,4/28/1958,2:53:00,Vanguard,Vanguard TV5,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,5/15/1958,7:12:00,Sputnik 8A91,Sputnik-3 #2,0,,1
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,5/28/1958,3:46:00,Vanguard,Vanguard SLV-1,0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,6/26/1958,5:00:00,Vanguard,Vanguard SLV-2,0,,2
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,7/25/1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),0,,2
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,7/26/1958,15:00:00,Juno I,Explorer 4,0,,1
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,8/12/1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,8/17/1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,0,,2
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,8/22/1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),0,,2
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,8/24/1958,6:17:00,Juno I,Explorer 5,0,,2
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,8/25/1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),0,,2
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,8/26/1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),0,,2
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,8/29/1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,9/23/1958,7:40:00,Vostok,E-1 n-1 (Luna-1),0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,9/26/1958,15:38:00,Vanguard,Vanguard SLV-3,0,,2
NASA,SLC-17A,Cape Canaveral AFS,Florida,USA,10/11/1958,8:42:00,Thor-DM 18 Able I,Pioneer 1,0,,3
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,10/11/1958,21:41:00,Vostok,E-1 n­2 (Luna-1),0,,2
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,10/23/1958,3:21:00,Juno I,Beacon 1,0,,2
NASA,SLC-17A,Cape Canaveral AFS,Florida,USA,11/8/1958,7:30:00,Thor-DM 18 Able I,Pioneer 2,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,12/4/1958,18:18:00,Vostok,E-1 n­3 (Luna-1),0,,2
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,12/6/1958,5:44:00,Juno II,Pioneer 3,0,,3
US Air Force,LC-11,Cape Canaveral AFS,Florida,USA,12/18/1958,23:02:00,SM-65B Atlas,SCORE,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,1/2/1959,16:41:00,Comp,Luna-1,0,,3
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,2/17/1959,15:55:00,Vanguard,Vanguard 2,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,2/28/1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,4/13/1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,0,,1
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,4/14/1959,2:49:00,Vanguard,Vanguard SLV-5,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,6/3/1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,6/18/1959,8:08:00,Vostok,E-1A n­1 (Luna-2),0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,6/22/1959,20:16:00,Vanguard,Vanguard SLV-6,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,6/25/1959,22:47:00,Thor-DM18 Agena-A,Discoverer 4,0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,8/7/1959,14:24:00,Thor DM-18 Able-III,Explorer 6,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,8/13/1959,19:00:00,Thor-DM18 Agena-A,Discoverer 5,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,8/19/1959,19:24:00,Thor-DM18 Agena-A,Discoverer 6,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,9/9/1959,8:19:00,Atlas-D Mercury,Big Joe 1,0,,3
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,9/12/1959,6:39:00,Vostok,Luna-2,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,9/17/1959,14:34:00,Thor DM-18 Able-II,Transit 1A,0,,2
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,9/18/1959,5:20:00,Vanguard,Vanguard 3,0,,3
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,10/4/1959,0:43:00,Vostok,Luna-3,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,11/7/1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,11/20/1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,0,,2
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,11/26/1959,7:26:00,Atlas-D Able,Pioneer P-3,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,2/4/1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,2/19/1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,0,,2
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,2/26/1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,3/11/1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,4/1/1960,11:40:00,Thor DM-18 Able-II,TIROS-1,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,4/13/1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/15/1960,15:06:00,Vostok,E-3 n­2 (Luna-3),0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,4/15/1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/16/1960,,Vostok,E-3 n­3 (Luna-3),0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,5/13/1960,9:16:00,Thor DM-19 Delta,Echo 1,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,5/15/1960,0:00:00,Vostok,Korabl-Sputnik 1,0,,1
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,5/24/1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,6/22/1960,5:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,6/29/1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,7/28/1960,9:31:00,Vostok,1K n­2 (Korabl-Sputnik 2),0,,2
NASA,LC-14,Cape Canaveral AFS,Florida,USA,7/29/1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,8/10/1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,8/12/1960,9:39:00,Thor DM-19 Delta,Echo 1A,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,8/18/1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,8/18/1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,8/19/1960,8:44:00,Vostok,Korabl-Sputnik 2,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,9/13/1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,9/25/1960,15:13:00,Atlas-D Able,Pioneer P-30,0,,2
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,10/4/1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,10/10/1960,14:27:00,Molniya,1M n­1 (Marsnik 1),0,,2
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,10/11/1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,10/14/1960,13:51:00,Molniya,1M n­2 (Marsnik 2),0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,10/26/1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,11/12/1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,0,,1
NASA,LC-5,Cape Canaveral AFS,Florida,USA,11/21/1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,11/23/1960,11:13:00,Thor DM-19 Delta,TIROS-2,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,11/30/1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,12/1/1960,7:30:00,Vostok,Korabl-Sputnik 3,0,,1
NASA,LA-3,Wallops Flight Facility,Virginia,USA,12/4/1960,21:14:00,Scout X-1,Explorer (S-56),0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,12/7/1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,12/15/1960,9:10:00,Atlas-D Able,Pioneer P-31,0,,2
NASA,LC-5,Cape Canaveral AFS,Florida,USA,12/19/1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,12/20/1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,12/22/1960,7:45:00,Vostok,1K n­5 (Korabl-Sputnik 3),0,,2
NASA,LC-5,Cape Canaveral AFS,Florida,USA,1/31/1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,1/31/1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,2/4/1961,1:18:00,Molniya,1VA n­1 (Venera 1),0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,2/12/1961,0:34:00,Molniya,Venera 1,0,,1
NASA,LA-3,Wallops Flight Facility,Virginia,USA,2/16/1961,13:05:00,Scout X-1,Explorer 9 (S-56A),0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,2/17/1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,2/18/1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,2/21/1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,2/22/1961,3:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,3/9/1961,6:29:00,Vostok,Korabl-Sputnik 4,0,,1
NASA,LC-5,Cape Canaveral AFS,Florida,USA,3/24/1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,3/25/1961,5:54:00,Vostok,Korabl-Sputnik 5,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,3/25/1961,15:17:00,Thor DM-19 Delta,Explorer 10,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,3/30/1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,4/8/1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/12/1961,6:07:00,Vostok,Vostok 1,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,4/25/1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),0,,2
NASA,LC-5,Cape Canaveral AFS,Florida,USA,5/5/1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,6/8/1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,0,,2
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,6/16/1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,6/29/1961,4:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",0,,1
NASA,LA-3,Wallops Flight Facility,Virginia,USA,6/30/1961,17:09:00,Scout X-1,Explorer (S-55),0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,7/7/1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,7/12/1961,10:25:00,Thor DM-19 Delta,TIROS-3,0,,1
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,7/12/1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,0,,1
NASA,LC-5,Cape Canaveral AFS,Florida,USA,7/21/1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,7/21/1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,0,,2
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,8/4/1961,0:01:00,Thor DM-21 Agena-B,Discoverer 28,0,,2
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,8/6/1961,6:00:00,Vostok,Vostok 2,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,8/16/1961,3:21:00,Thor DM-19 Delta,Explorer 12,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,8/23/1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,0,,2
NASA,LA-3,Wallops Flight Facility,Virginia,USA,8/25/1961,18:29:00,Scout X-1,Explorer 13,0,,3
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,8/30/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,9/9/1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,9/12/1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,9/13/1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),0,,1
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,9/17/1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,10/13/1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,0,,1
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,10/21/1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,0,,3
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,10/23/1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,0,,2
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,10/27/1961,16:30:00,Cosmos-2I (63S1),DS-1 1,0,,2
NASA,LC-18B,Cape Canaveral AFS,Florida,USA,11/1/1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),0,,2
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,11/5/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,11/15/1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,11/15/1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,11/18/1961,8:12:00,Atlas-LV3 Agena-B,Ranger 2,0,,2
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,11/22/1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,0,,2
NASA,LC-14,Cape Canaveral AFS,Florida,USA,11/29/1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,12/11/1961,9:39:00,Vostok,Zenit-2 n­1,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,12/12/1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,12/21/1961,12:30:00,Cosmos-2I (63S1),DS-1 2,0,,2
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,12/22/1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,0,,3
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,1/13/1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,0,,2
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,1/24/1962,9:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,0,,2
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,1/26/1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,0,,3
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,2/8/1962,12:43:00,Thor DM-19 Delta,TIROS-4,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,2/20/1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,2/21/1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,0,,3
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,2/27/1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,3/7/1962,16:06:00,Thor DM-19 Delta,OSO-1,0,,1
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,3/7/1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,3/16/1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,4/6/1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,0,,1
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,4/9/1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,4/18/1962,0:54:00,Thor DM-21 Agena-B,Discoverer 39,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,4/23/1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,4/24/1962,4:00:00,Cosmos-2I (63S1),Cosmos 3,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,4/26/1962,10:02:00,Vostok,Cosmos 4,0,,1
NASA,LA-3,Wallops Flight Facility,Virginia,USA,4/26/1962,10:49:00,Scout X-2,Solrad 4B,0,,2
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,4/26/1962,18:00:00,Thor DM-19 Delta,Ariel 1,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,4/26/1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,4/29/1962,0:30:00,Thor DM-21 Agena-B,FTV 1125,0,,1
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,5/8/1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),0,,2
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,5/10/1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,5/15/1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,0,,1
NASA,LC-14,Cape Canaveral AFS,Florida,USA,5/24/1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),0,,1
US Air Force,SLC-5,Vandenberg AFB,California,USA,5/24/1962,,Scout X-2M,DSAP-1 F1 (Program 35),0,,2
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,5/28/1962,3:00:00,Cosmos-2I (63S1),Cosmos 5,0,,1
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,5/30/1962,1:00:00,Thor DM-21 Agena-B,FTV 1128,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,6/1/1962,9:37:00,Vostok-2,Zenit-2 n­3,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,6/2/1962,0:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,6/17/1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,6/18/1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,0,,1
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,6/19/1962,12:19:00,Thor DM-19 Delta,TIROS-5,0,,1
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,6/23/1962,0:30:00,Thor DM-21 Agena-B,FTV 1129,0,,1
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,6/28/1962,1:09:00,Thor DM-21 Agena-D,FTV 1151,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,6/30/1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,0,,1
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,7/10/1962,8:35:00,Thor DM-19 Delta,Telstar 1,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,7/18/1962,20:15:00,Atlas-LV3 Agena-B,Samos 9,0,,1
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,7/21/1962,0:56:00,Thor DM-21 Agena-B,FTV 1130,0,,1
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,7/22/1962,9:21:00,Atlas-LV3 Agena-B,Mariner 1,0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,7/28/1962,0:30:00,Thor DM-21 Agena-B,FTV 1131,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,7/28/1962,9:18:00,Vostok-2,Cosmos 7,0,,1
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,8/2/1962,0:17:00,Thor DM-21 Agena-D,FTV 1152,0,,1
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,8/5/1962,17:59:00,Atlas-LV3 Agena-B,Samos 10,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,8/11/1962,8:30:00,Vostok,Vostok 3,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,8/12/1962,8:02:00,Vostok,Vostok 4,0,,1
RVSN USSR,Mayak-2,Kapustin Yar,,Russia,8/18/1962,15:00:00,Cosmos-2I (63S1),Cosmos 8,0,,1
US Air Force,SLC-5,Vandenberg AFB,California,USA,8/23/1962,11:44:00,Scout X-2M,DSAP-1 F2 (Program 35),0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,8/25/1962,2:56:00,Molniya,2MV-1 n­1 (Venera 2),0,,2
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,8/27/1962,6:53:00,Atlas-LV3 Agena-B,Mariner 2,0,,1
US Air Force,SLC-2W,Vandenberg AFB,California,USA,8/29/1962,1:00:00,Thor DM-21 Agena-D,FTV 1153,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,9/1/1962,2:12:00,Molniya,2MV-1 n­2 (Venera 2),0,,2
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,9/1/1962,20:39:00,Thor DM-21 Agena-B,FTV 1132,0,,1
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,9/12/1962,0:59:00,Molniya,2MV-2 n­1 (Venera 2),0,,2
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,9/17/1962,23:46:00,Thor DM-21 Agena-B,FTV 1133 & ERS-2,0,,1
